"","resep","bahan"
"468","Sambal Goreng Tahu Krecek(Krupuk Kulit)","2 btr kemiri sangrai"
"469","Sambal Goreng Tahu Krecek(Krupuk Kulit)","7 cabe merah"
"470","Nasi Liwet Magic Com","1/2 kg beras"
"471","Nasi Liwet Magic Com","secukupnya Air"
"472","Nasi Liwet Magic Com","3 cabai merah keriting"
"473","Nasi Liwet Magic Com","2 siung bawang merah"
"474","Nasi Liwet Magic Com","3 siung bawang putih"
"475","Nasi Liwet Magic Com","3 batang sereh memarkan"
"476","Nasi Liwet Magic Com","3 lbr daun jeruk"
"477","Nasi Liwet Magic Com","3 lbr daun salam"
"478","Nasi Liwet Magic Com","secukupnya Garam"
"479","Terong Teri Sambal Ijo","2 buah terong ungu"
"480","Terong Teri Sambal Ijo","Bumbu-bumbu:"
"481","Terong Teri Sambal Ijo","5 siung bawang merah"
"482","Terong Teri Sambal Ijo","2 siung bawang putih"
"483","Terong Teri Sambal Ijo","10 buah cabai hijau"
"484","Terong Teri Sambal Ijo","4 buah cabai rawit hijau"
"485","Terong Teri Sambal Ijo","1/2 buah tomat"
"486","Terong Teri Sambal Ijo","2 lbr daun salam"
"487","Terong Teri Sambal Ijo","3/4 sdt garam"
"488","Terong Teri Sambal Ijo","1/4 sdt gula pasir"
"489","Terong Teri Sambal Ijo","1/2 sdt kaldu bubuk"
"490","Balado Rempela Ati Ayam ala Aku","1/2 kg rempela n hati ayam"
"491","Balado Rempela Ati Ayam ala Aku","13 cabai kriting merah"
"492","Balado Rempela Ati Ayam ala Aku","5 siung bawang putih"
"493","Balado Rempela Ati Ayam ala Aku","4 siung bawang merah"
"494","Balado Rempela Ati Ayam ala Aku","2 lembar daun salam"
"495","Balado Rempela Ati Ayam ala Aku","2 lembar daun jeruk"
"496","Balado Rempela Ati Ayam ala Aku","secukupnya kecap manis"
"497","Balado Rempela Ati Ayam ala Aku","1 bungkus trasi abc"
"498","Goreng Ikan Karapu Balado","900 gr ikan karapu"
"499","Goreng Ikan Karapu Balado","1 siung baput, haluskan"
"500","Goreng Ikan Karapu Balado","1/2 sdt garam"
"501","Goreng Ikan Karapu Balado","2 sdm air jeruk nipis"
"502","Goreng Ikan Karapu Balado","1 papan petai ambil bijinya"
"503","Goreng Ikan Karapu Balado","2 lembar daun jeruk"
"504","Goreng Ikan Karapu Balado","1 batang serai, memarkan"
"505","Goreng Ikan Karapu Balado","1/4 sdt garam"
"506","Ikan Asin Geprek Sambel Terasi","3 ekor ikan gabus kecil"
"507","Ikan Asin Geprek Sambel Terasi","7 buah cabe rawit"
"508","Ikan Asin Geprek Sambel Terasi","1 siung bamer"
"509","Ikan Asin Geprek Sambel Terasi","1 siung baput"
"510","Ikan Asin Geprek Sambel Terasi","1/2 buah tomat"
"511","Ikan Asin Geprek Sambel Terasi","1 buah terasi"
"512","Lodeh nangka mudah (blendrang nangka muda)","bnyak orang,"
"513","Lodeh nangka mudah (blendrang nangka muda)","bnyak orang,"
"514","Lodeh nangka mudah (blendrang nangka muda)","bnyak orang,"
"515","Lodeh nangka mudah (blendrang nangka muda)","1/2 santan kental"
"516","Lodeh nangka mudah (blendrang nangka muda)","1/2 santan encer"
"517","Lodeh nangka mudah (blendrang nangka muda)","5 lembar daun salam"
"518","Lodeh nangka mudah (blendrang nangka muda)","3 batang srei"
"519","Lodeh nangka mudah (blendrang nangka muda)","1 biji lengkuas"
"520","Lodeh nangka mudah (blendrang nangka muda)","2 biji kunyit"
"521","Lodeh nangka mudah (blendrang nangka muda)","1 sdm ketumbar"
"522","Lodeh nangka mudah (blendrang nangka muda)","5 butir kemiri"
"523","Lodeh nangka mudah (blendrang nangka muda)","7 biji cabe merah besar"
"524","Lodeh nangka mudah (blendrang nangka muda)","1/4 cabe rawit"
"525","Lodeh nangka mudah (blendrang nangka muda)","1/4 cabe hijau"
"526","Lodeh nangka mudah (blendrang nangka muda)","3 sachet royko sapi / ayam"
"527","Lodeh nangka mudah (blendrang nangka muda)","secukupnya Gula"
"528","Lodeh nangka mudah (blendrang nangka muda)","secukupnya Minyak"
"529","Terong Balado","2 buah terong"
"530","Terong Balado","1 daun bawang"
"531","Terong Balado","2 buah cabe merah"
"532","Terong Balado","7 cabe rawit"
"533","Terong Balado","3 bawang merah"
"534","Terong Balado","2 bawang putih"
"535","Terong Balado","kaldu jamur totole"
"536","Terong Balado","secukupnya air"
"537","Terong Balado Sederhana","2 buah terong ukuran besar"
"538","Terong Balado Sederhana","secukupnya Minyak goreng"
"539","Terong Balado Sederhana","4 buah cabe merah besar"
"540","Terong Balado Sederhana","9 buah cabe merah kecil"
"541","Terong Balado Sederhana","2 siung bawang merah"
"542","Terong Balado Sederhana","4 siung bawang putih"
"543","Terong Balado Sederhana","1 buah tomat ukuran besar"
"544","Terong Balado Sederhana","3/4 sdt garam/sesuai selera"
"545","Terong Balado Sederhana","Sedikit micin"
"546","Opor ayam kuah susu","1/2 kg Sayap ayam"
"547","Opor ayam kuah susu","5 lmbr Daun jeruk"
"548","Opor ayam kuah susu","2 lmbr Daun salam"
"549","Opor ayam kuah susu","1/2 sdt Lada"
"550","Opor ayam kuah susu","2 sdm Minyak kelapa"
"551","Opor ayam kuah susu","3 sdm Susu kental manis"
"552","Opor ayam kuah susu","Bumbu halus:"
"553","Opor ayam kuah susu","12 siung Bawang merah"
"554","Opor ayam kuah susu","6 siung Bawang putih"
"555","Opor ayam kuah susu","4 keping Kemiri sangrai"
"556","Opor ayam kuah susu","1/2 sdt Jinten"
"557","Opor ayam kuah susu","6 cm Kunyit bakar"
"558","Opor ayam kuah susu","1 sdt Ketumbar"
"559","Tahu, Ati balado","100 gr ati ayam"
"560","Tahu, Ati balado","150 gr tahu potong dadu"
"561","Tahu, Ati balado","1 buah tomat"
"562","Tahu, Ati balado","3 siung bawang merah besar"
"563","Tahu, Ati balado","1 siung bawang putih besar"
"564","Tahu, Ati balado","Penyedap rasa"
"565","Ayam rica rica kemangi","1/2 ekor ayam boiler"
"566","Ayam rica rica kemangi","1 ikat kemangi,"
"567","Ayam rica rica kemangi","1/2 cm jahe,"
"568","Ayam rica rica kemangi","25 cabe rawit(sesuai selera)"
"569","Ayam rica rica kemangi","10 cabe merah(boleh lebih)"
"570","Ayam rica rica kemangi","2 buah Tobat (boleh di skip)"
"571","Ayam rica rica kemangi","3 lembar daun salam"
"572","Ayam rica rica kemangi","3 lembar daun jeruk"
"573","Sambel bajak","25 cabe rawit"
"574","Sambel bajak","1 1/2 cabe merah besar"
"575","Sambel bajak","1 tomat besar"
"576","Sambel bajak","8 siung bawang merah"
"577","Sambel bajak","1 sdt gula merah"
"578","Sambel bajak","1/2 sdt terasi"
"579","Semur jengkol endul","1/2 kg Jengkol"
"580","Semur jengkol endul","8-9 biji Bawang merah"
"581","Semur jengkol endul","5-6 biji Bawang putih"
"582","Semur jengkol endul","5 pcs Kemiri"
"583","Semur jengkol endul","Merica sckupnyaa"
"584","Semur jengkol endul","4-5 sdm Kecap"
"585","Masakan Mudah : Sambal Ijo Teri","1/2 ons teri, goreng sebentar"
"586","Masakan Mudah : Sambal Ijo Teri","Secukupnya gula"
"587","Masakan Mudah : Sambal Ijo Teri","Secukupnya garam"
"588","Masakan Mudah : Sambal Ijo Teri","Bahan uleg/blender :"
"589","Masakan Mudah : Sambal Ijo Teri","4 bawang merah"
"590","Masakan Mudah : Sambal Ijo Teri","1 buah tomat"
"591","Sambal Goreng Kentang Buncis","100 gram buncis"
"592","Sambal Goreng Kentang Buncis","Bumbu halus:"
"593","Sambal Goreng Kentang Buncis","4 siung bawang merah"
"594","Sambal Goreng Kentang Buncis","3 siung bawang putih"
"595","Sambal Goreng Kentang Buncis","1 buah tomat ukuran kecil"
"596","Sambal Goreng Kentang Buncis","Bahan lainnya:"
"597","Sambal Goreng Kentang Buncis","2 sdm minyak untuk menumis"
"598","Sambal Goreng Kentang Buncis","1 sdm gula palem, sisir halus"
"599","Pepes tahu kerupuk","1 butir telur"
"600","Pepes tahu kerupuk","Sejimpit gula pasir"
"601","Pepes tahu kerupuk","Bumbu halus:"
"602","Pepes tahu kerupuk","2 siung bawang putih"
"603","Pepes tahu kerupuk","2 cabe merah keriting"
"604","Pepes tahu kerupuk","3 cabe rawit merah"
"605","Pepes tahu kerupuk","2 cabe ijo besar"
"606","Pepes tahu kerupuk","1/2 buah tomat"
"607","Pepes tahu kerupuk","1 batang daun bawang"
"608","Pepes tahu kerupuk","Bahan pelengkap:"
"609","Sayur lodeh jantung pisang (Ontong)","3 sdm santan instan kental"
"610","Sayur lodeh jantung pisang (Ontong)","1/2 buah tomat potong2"
"611","Sayur lodeh jantung pisang (Ontong)","Secukupnya air"
"612","Sayur lodeh jantung pisang (Ontong)","Sejimpit gula pasir"
"613","Sayur lodeh jantung pisang (Ontong)","4 siung bawang putih"
"614","Sayur lodeh jantung pisang (Ontong)","3 buah cabai merah keriting"
"615","Sayur lodeh jantung pisang (Ontong)","Bumbu Cemplung:"
"616","Sayur lodeh jantung pisang (Ontong)","3 cm lengkuas, geprek"
"617","Sayur lodeh jantung pisang (Ontong)","2 lembar daun salam"
"618","Sambal Raja Khas Kutai","secukupnya Minyak goreng"
"619","Sambal Raja Khas Kutai","Bahan yang dihaluskan"
"620","Sambal Raja Khas Kutai","10 buah cabe rawit"
"621","Sambal Raja Khas Kutai","1 bks terasi kecil"
"622","Sambal Raja Khas Kutai","2 buah jeruk limau"
"623","Sambal Raja Khas Kutai","1/2 sdt gula"
"624","Sambal Raja Khas Kutai","1 sdm gula pasir"
"625","77. Lodeh Terong Bumbu Iris","4 buah terong ukuran sedang"
"626","77. Lodeh Terong Bumbu Iris","10-15 buah cabe hijau besar"
"627","77. Lodeh Terong Bumbu Iris","4 buah cabe rawit merah"
"628","77. Lodeh Terong Bumbu Iris","4 siung bawang merah"
"629","77. Lodeh Terong Bumbu Iris","3 siubg bawang putih"
"630","77. Lodeh Terong Bumbu Iris","750-1000 ml santan"
"631","77. Lodeh Terong Bumbu Iris","Secukupnya garam"
"632","77. Lodeh Terong Bumbu Iris","Secukupnya gula"
"633","77. Lodeh Terong Bumbu Iris","Secukupnya penyedap rasa"
"634","77. Lodeh Terong Bumbu Iris","1/2 sdt ketumbar bubuk"
"635","Terong Ungu Bakar Sambal Matah","4 buah terong ungu (1/2 kg)"
"636","Terong Ungu Bakar Sambal Matah","6 siung bawang merah"
"637","Terong Ungu Bakar Sambal Matah","2 siung bawang putih, cincang"
"638","Terong Ungu Bakar Sambal Matah","3 bh cabe merah besar"
"639","Terong Ungu Bakar Sambal Matah","5 bh cabe rawit merah"
"640","Terong Ungu Bakar Sambal Matah","1 bh tomat merah besar"
"641","Terong Ungu Bakar Sambal Matah","1/2 saset terasi"
"642","Terong Ungu Bakar Sambal Matah","Perasan air jeruk lemon"
"643","Sambal Hati Kentang","1/4 kg hati ayam (rebus)"
"644","Sambal Hati Kentang","8 buah kentang uk.kecil"
"645","Sambal Hati Kentang","Bumbu halus:"
"646","Sambal Hati Kentang","7 buah cabe rawit"
"647","Sambal Hati Kentang","5 buah cabe merah besar"
"648","Sambal Hati Kentang","4 siung bawang putih"
"649","Sambal Hati Kentang","6 bawang merah"
"650","Sambal Hati Kentang","Secukupnya garam, gula"
"651","Baso Kulit Pisang Bakar","200 gr Daging Ayam"
"652","Baso Kulit Pisang Bakar","125 gr Tepung Tapioka"
"653","Baso Kulit Pisang Bakar","1 butir Telur (putihnya saja)"
"654","Baso Kulit Pisang Bakar","6 siung Bawang Merah"
"655","Baso Kulit Pisang Bakar","4 siung Bawang Putih"
"656","Baso Kulit Pisang Bakar","1 sdt Penyedap Rasa"
"657","Baso Kulit Pisang Bakar","1/2 sdt Merica Bubuk"
"658","Baso Kulit Pisang Bakar","Olesan Bakar :"
"659","Baso Kulit Pisang Bakar","2 sdm Saus Cabe"
"660","Sambel tomat terasi","2 bgks Terasi mama suka"
"661","Sambel tomat terasi","2 buah Tomat"
"662","Sambel tomat terasi","10 buah Cabe merah kriting"
"663","Sambel tomat terasi","5 buah Cabe rawit"
"664","Sambel tomat terasi","5 siung Bawang merah"
"665","Sambel tomat terasi","3 siung Bawang putih"
"666","Sambel tomat terasi","secukupnya Minyak goreng"
"667","Sambel tomat terasi","Gula aren secukupny"
"668","Sambel tomat terasi","secukupnya Garam"
"669","Sambel tomat terasi","secukupnya Penyedap"
"670","Haliling (Tutut) Gangan Balamak Khas Banjar","500 gram Haliling"
"671","Haliling (Tutut) Gangan Balamak Khas Banjar","700 ml santan"
"672","Haliling (Tutut) Gangan Balamak Khas Banjar","4 butir bawang merah (iris)"
"673","Haliling (Tutut) Gangan Balamak Khas Banjar","1 ikat bayam (petik daunnya)"
"674","Pepes Ikan Teri Basah tanpa Kukus","1/4 ikan teri basah cuma 7k"
"675","Pepes Ikan Teri Basah tanpa Kukus","5 siung Bawang merah"
"676","Pepes Ikan Teri Basah tanpa Kukus","3 siung putih"
"677","Pepes Ikan Teri Basah tanpa Kukus","1 ruas kunyit"
"678","Pepes Ikan Teri Basah tanpa Kukus","3 batang serai yg kecil"
"679","Pepes Ikan Teri Basah tanpa Kukus","3 lembar Daun salam"
"680","Pepes Ikan Teri Basah tanpa Kukus","9 buah cabe merah besar"
"681","Pepes Ikan Teri Basah tanpa Kukus","1/2 buah tomat"
"682","Pepes Ikan Teri Basah tanpa Kukus","Daun pisang untuk memanggang"
"683","Soto Ayam Koya Surabaya","secukupnya Garam"
"684","Soto Ayam Koya Surabaya","secukupnya Gula"
"685","Soto Ayam Koya Surabaya","1 batang serai"
"686","Soto Ayam Koya Surabaya","iris Daun bawang"
"687","Soto Ayam Koya Surabaya","1 lembar daun salam"
"688","Soto Ayam Koya Surabaya","2 lembar daun jeruk"
"689","Soto Ayam Koya Surabaya","1 buah kentang"
"690","Soto Ayam Koya Surabaya","Bawang putih goreng"
"691","Soto Ayam Koya Surabaya","3 buah Kerupuk udang"
"692","Soto Ayam Koya Surabaya","6 siung bawang merah"
"693","Soto Ayam Koya Surabaya","3 siung bawang putih"
"694","Soto Ayam Koya Surabaya","1 sdt merica"
"695","Soto Ayam Koya Surabaya","3 butir kemiri sangrai"
"696","Soto Ayam Koya Surabaya","2 ruas kunyit, bakar"
"697","Soto Ayam Koya Surabaya","1/2 sdm ketumbar"
"698","Soto Ayam Koya Surabaya","3 butir telur, rebus"
"699","Soto Ayam Koya Surabaya","Kol, iris tipis"
"700","Soto Ayam Koya Surabaya","iris Seledri,"
"701","Soto Ayam Koya Surabaya","Rawit, rebus dan ulek"
"702","Bakso ayam udang batita","100 gram ayam kampung giling"
"703","Bakso ayam udang batita","50 gram udang cincang halus"
"704","Bakso ayam udang batita","1 siung bawang putih haluskan"
"705","Bakso ayam udang batita","1/2 butir telur ayam"
"706","Bakso ayam udang batita","1 sendok makan munjung sagu"
"707","Bakso ayam udang batita","1 sendok teh minyak wijen"
"708","Bakso ayam udang batita","1 sendok teh kecap ikan"
"709","Kentang balado buncis","Kentang di potong kotak"
"710","Kentang balado buncis","potong panjang Buncis"
"711","Kentang balado buncis","4 Bawang merah"
"712","Kentang balado buncis","3 Bawang putih"
"713","Kentang balado buncis","2 butir Kemiri"
"714","Kentang balado buncis","Ketumbar bubuk"
"715","Kentang balado buncis","Cabe merah (buang biji)"
"716","Kentang balado buncis","Cabe rawit (sesuai selera)"
