"nama";"bahan"
"403";"Onde Onde (Klepon)";"250 g tepung beras ketan"
"404";"Onde Onde (Klepon)";"250 ml air + 150 ml air"
"405";"Onde Onde (Klepon)";"150 g gula melaka (gula aren) - dicincang"
"406";"Rujak Soto";"½ ekor ayam(potong 8 pcs dan dapat diganti dengan 2 dada ayam)"
"407";"Rujak Soto";"200 g tempe goreng"
"408";"Rujak Soto";"200 g tahu goreng"
"409";"Rujak Soto";"100 g tauge"
"410";"Rujak Soto";"150 g kangkung (bayam air)"
"411";"Rujak Soto";"8 kerupuk goreng (kerupuk udang)"
"412";"Rujak Soto";"1 jeruk nipis (potong-potong)"
"413";"Rujak Soto";"100 g bihun (rebus sebentar lalu masukkan ke air es)"
"414";"Rujak Soto";"2 batang serai"
"415";"Rujak Soto";"2 jeruk purut / jeruk limau (potong-potong)"
"416";"Rujak Soto";"2 batang serai"
"417";"Rujak Soto";"8 siung bawang putih"
"418";"Rujak Soto";"3 siung bawang merah"
"419";"Rujak Soto";"1 pc jahe berukuran 2 cm"
"420";"Rujak Soto";"1½ sdt bubuk jintan"
"421";"Rujak Soto";"1½ sdt ketumbar bubuk"
"422";"Rujak Soto";"½ sdt garam"
"423";"Rujak Soto";"Gula (sesuai selera)"
"424";"Rujak Soto";"saus ikan (sesuai selera)"
"425";"Rujak Soto";"2 L air"
"426";"Singkong Sawut Gunung";"1 kg singkong"
"427";"Singkong Sawut Gunung";"10 g garam"
"428";"Singkong Sawut Gunung";"200 g gula aren (parut halus)"
"429";"Singkong Sawut Gunung";"50 g gula"
"430";"Singkong Sawut Gunung";"100 g kelapa parut (dikukus)"
"431";"Sop Buntut ";"400 g ekor sapi gemuk (potong panjang 5cm)"
"432";"Sop Buntut ";"4 - 6 sdm minyak zaitun atau minyak sayur"
"433";"Sop Buntut ";"garam laut"
"434";"Sop Buntut ";"Merica giling"
"435";"Sop Buntut ";"1 bawang(dikupas & dipotong kasar)"
"436";"Sop Buntut ";"1 wortel sedang(dikupas & dipotong kasar)"
"437";"Sop Buntut ";"1 batang seledri(dicuci & dipotong kasar)"
"438";"Sop Buntut ";"1 batang kayu manis"
"439";"Sop Buntut ";"1 buah pala utuh"
"440";"Sop Buntut ";"daun salam"
"441";"Sop Buntut ";"sekitar 1 L air"
"442";"Sop Buntut ";"1 kentang besar(kupas dan potong dadu kira-kira 1 cm)"
"443";"Sop Buntut ";"1 daun bawang(dicuci & diiris sekitar 2 mm)"
"444";"Sop Buntut ";"1 wortel sedang(kupas & potong dadu halus)"
"445";"Sop Buntut ";"1 bawang ukuran sedang(kupas & potong dadu halus)"
"446";"Sop Buntut ";"1 - 2 siung bawang putih(kupas & potong dadu halus)"
"447";"Sop Buntut ";"1 genggam tomat ceri(dibelah dua)"
"448";"Sop Buntut ";"⅛ cup gandum"
"449";"Sop Buntut ";"segenggam kecil basil (garnish) yang baru dipetik,Goreng sekejap"
"450";"Ayam Penyet";"4 potong paha ayam(120 g per potong, dengan tulang)"
"451";"Ayam Penyet";"1 buah tomat besar(dicincang)"
"452";"Ayam Penyet";"3 batang daun serai(ditumbuk)"
"453";"Ayam Penyet";"10 buah cabai merah"
"454";"Ayam Penyet";"2 buah bawang merah"
"455";"Ayam Penyet";"7 siung bawah putih(dihaluskan)"
"456";"Ayam Penyet";"120 lengkuas(diiris)"
"457";"Ayam Penyet";"40 g jahe"
"458";"Ayam Penyet";"15 g kunyit segar"
"459";"Ayam Penyet";"½ sdm terasi"
"460";"Ayam Penyet";"1 sdm  bubuk ketumbar"
"461";"Ayam Penyet";"½ sdt bubuk jintan"
"462";"Ayam Penyet";"2 ½ sdm gula putih"
"463";"Ayam Penyet";"2 ½ sdm garam"
"464";"Ayam Penyet";"1 liter + ¼ gelas air"
"465";"Ayam Penyet";"Minyak sayur"
"466";"Gulai Ikan Kakap";"fillet kakap merah"
"467";"Gulai Ikan Kakap";"10 bawang merah"
"468";"Gulai Ikan Kakap";"5 siung bawang putih"
"469";"Gulai Ikan Kakap";"5g jahe"
"470";"Gulai Ikan Kakap";"5g kunyit"
"471";"Gulai Ikan Kakap";"3 cabai merah besar"
"472";"Gulai Ikan Kakap";"5 g kemiri"
"473";"Gulai Ikan Kakap";"2 daun salam"
"474";"Gulai Ikan Kakap";"1 serai"
"475";"Gulai Ikan Kakap";"25 g pasta asam jawa"
"476";"Gulai Ikan Kakap";"1 sdt garam"
"477";"Gulai Ikan Kakap";"100 ml santan"
"478";"Gulai Ikan Kakap";"minyak goreng"
"479";"Gulai Ikan Kakap";"300 ml air"
"480";"Gulai Ikan Kakap";"180 g beras"
"481";"Garang Asem";"6 siung bawang merah"
"482";"Garang Asem";"4 butir bawang putih"
"483";"Garang Asem";"1 tangkai serai"
"484";"Garang Asem";"5 daun salam"
"485";"Garang Asem";"5 cm lengkuas"
"486";"Garang Asem";"4 cabe besar"
"487";"Garang Asem";"4 tomat ceri"
"488";"Garang Asem";"5 belimbing wuluh"
"489";"Garang Asem";"200 ml santan"
"490";"Garang Asem";"300 ml air"
"491";"Garang Asem";"garam (sesuai selera)"
"492";"Garang Asem";"gula (sesuai selera)"
"493";"Soto Ayam";"1 ekor ayam"
"494";"Soto Ayam";"10 siung bawang merah"
"495";"Soto Ayam";"5 siung bawang putih"
"496";"Soto Ayam";"5 butir kemiri"
"497";"Soto Ayam";"3 buah kunyit (15cm)"
"498";"Soto Ayam";"jahe (5cm per buah)"
"499";"Soto Ayam";"Lengkuas (3 cm per buah)"
"500";"Soto Ayam";"3 lembar daun salam"
"501";"Soto Ayam";"3 lembar daun limau"
"502";"Soto Ayam";"daun ketumbar"
"503";"Soto Ayam";"lada"
"504";"Soto Ayam";"Lada"
"505";"Soto Ayam";"garam"
"506";"Soto Ayam";"Daun serai"
"507";"Soto Ayam";"2 L air"
"508";"Soto Ayam";"mie (taruh dalam air mendidih)"
"509";"Soto Ayam";"toge"
"510";"Soto Ayam";"kol"
"511";"Soto Ayam";"daun seledri"
"512";"Soto Ayam";"bawang goreng"
"513";"Soto Ayam";"½ butir lemon"
"514";"Soto Ayam";"ayam goreng (disuwir)"
"515";"Ayam Balado ";"500 g paha ayam"
"516";"Ayam Balado ";"Garam sesuai selera"
"517";"Ayam Balado ";"2 buah tomat, dipotong dadu"
"518";"Ayam Balado ";"½ iris bawang bombai"
"519";"Ayam Balado ";"2 batang serai"
"520";"Ayam Balado ";"½ sdm belacan"
"521";"Ayam Balado ";"Minyak untuk menumis"
"522";"Ayam Balado ";"Bumbu sambal pedas:"
"523";"Ayam Balado ";"6 siung bawang merah"
"524";"Ayam Balado ";"5 butir bawang putih"
"525";"Ayam Balado ";"12 buah cabai merah"
"526";"Ayam Balado ";"2 lembar daun jeruk nipis"
"527";"Nugget Pisang";"5 pisang kepok (pisang kepok cocok untuk dimasak) - kupas dan dipotong dadu"
"528";"Nugget Pisang";"3 potong roti (dipotong dadu)"
"529";"Nugget Pisang";"300 g tepung maizena"
"530";"Nugget Pisang";"1 sdm esensi vanilla"
"531";"Nugget Pisang";"1 sdt gula"
"532";"Nugget Pisang";"Garam"
"533";"Nugget Pisang";"200 g tepung"
"534";"Nugget Pisang";"500 g tepung roti"
"535";"Nugget Pisang";"2 butir telur"
"536";"Nugget Pisang";"Air"
"537";"Begedil (Perkedel)";"700 g kentang (dikupas dan diiris)"
"538";"Begedil (Perkedel)";"1 tangkai ketumbar (cincang)"
"539";"Begedil (Perkedel)";"1 tangkai daun bawang (irisan)"
"540";"Begedil (Perkedel)";"1 butir telur"
"541";"Begedil (Perkedel)";"1 sdt bubuk jintan"
"542";"Begedil (Perkedel)";"1 sdt gula pasir"
"543";"Begedil (Perkedel)";"1 sdt lada putih"
"544";"Ikan Goreng Kicap";"4 shallots "
"545";"Ikan Goreng Kicap";"3 clove garlic "
"546";"Ikan Goreng Kicap";"3 cm ginger "
"547";"Ikan Goreng Kicap";"1 spring onion stalk "
"548";"Ikan Goreng Kicap";"2 pcs big red chilies "
"549";"Ikan Goreng Kicap";"soya sauce (sweet)"
"550";"Ikan Goreng Kicap";"soy sauce (salted)"
"551";"Ikan Goreng Kicap";"salt"
"552";"Ikan Goreng Kicap";"sugar"
"553";"Ikan Goreng Kicap";"red snapper fish"
"554";"Ikan Goreng Kicap";"marinade: "
"555";"Ikan Goreng Kicap";"1 pc lime"
"556";"Ikan Goreng Kicap";"1 clove garlic (bruised)"
"557";"Ikan Goreng Kicap";"salt and pepper for seasoning"
